h3_cell,raw_violation_count,weighted_violation_count,unique_devices,unique_officers,junction_violation_count,multi_violation_count,repeat_vehicle_violations,unactioned_count,mean_latitude,mean_longitude,mean_road_context_weight,mean_sensitive_landmark_weight,mean_shift_friction_weight,night_violation_count,weekend_violation_count,violations_per_device,junction_share,multi_violation_rate,unactioned_rate,night_share,weekend_share,density_raw,severity_raw,footprint_raw,junction_raw,chronicity_raw,road_context_raw,sensitive_raw,shift_risk_raw,estimated_capacity_loss_pct,density_pct,severity_pct,footprint_pct,junction_pct,chronicity_pct,road_context_pct,shift_risk_pct,capacity_loss_pct_rank,density_points,severity_points,footprint_points,junction_points,chronicity_points,road_context_points,shift_risk_points,cis,observed_congestion_proxy,dominant_police_station,dominant_junction_name,rejection_rate,unactioned_pct,rejection_pct,egs,priority_score,priority_tier,share_00-06,share_06-12,share_12-18,share_18-24,shift_priority_00-06,shift_priority_06-12,shift_priority_12-18,shift_priority_18-24,anomaly_score,is_unusual_pattern,is_emerging_hotspot
8861892e3bfffff,383,214.5,29,28,0,193,64,92,12.997701905703776,77.67084545597558,1.3798955613577024,1.0,1.0652741514360313,228,149,7.396551724137931,0.0,0.5039164490861618,0.2402088772845953,0.5953002610966057,0.38903394255874674,7.396551724137931,6.112426035502959,1.5967365967365967,0.0,0.1671018276762402,1.3798955613577024,1.0,0.6341579804893346,32.51968803454873,71.1340206185567,91.23711340206185,93.1701030927835,41.68814432989691,76.5463917525773,89.17525773195877,80.41237113402062,94.58762886597938,14.226804123711341,10.948453608247421,16.89819587628866,5.002577319587629,7.654639175257731,11.59278350515464,12.061855670103093,78.38530927835052,162.7857750799848,Banaswadi,No Junction,0.18276762402088773,82.60309278350515,65.85051546391753,75.9020618556701,77.39201030927835,P0,0.5953002610966057,0.3289817232375979,0.07571801566579635,0.0,46.0714839439046,25.460556916368333,5.85996944900541,0.0,-0.16197724727857593,False,False
88618920bbfffff,1537,847.0,37,34,0,1061,328,185,12.949622196853223,77.69950276228533,1.4235523747560181,1.0001301236174367,1.0720884840598568,965,361,22.89189189189189,0.0,0.690305790500976,0.12036434612882238,0.6278464541314248,0.23487312947299935,22.89189189189189,6.225457007447528,1.3446871310507675,0.0,0.21340273259596618,1.4235523747560181,1.0001301236174367,0.6731069532321157,29.204529909724748,92.26804123711341,92.39690721649485,88.53092783505154,41.68814432989691,83.24742268041237,93.55670103092784,81.8298969072165,92.0103092783505,18.453608247422682,11.087628865979381,16.248711340206185,5.002577319587629,8.324742268041238,12.162371134020619,12.274484536082474,83.5541237113402,456.4863920660404,HAL Old Airport,No Junction,0.19843851659076123,62.628865979381445,70.61855670103093,65.82474226804123,76.4623711340206,P0,0.6278464541314248,0.302537410540013,0.06961613532856213,0.0,48.00662859097584,23.13272776663603,5.323014776408721,0.0,-0.04483687037379702,False,False
88618925c1fffff,697,369.0,29,27,451,20,251,84,12.925366066197732,77.6188687860651,1.3690817790530847,1.005738880918221,1.041822094691535,338,176,12.724137931034482,0.6470588235294118,0.028694404591104734,0.12051649928263988,0.48493543758967,0.25251076040172166,12.724137931034482,5.044444444444444,1.2235772357723578,0.6470588235294118,0.3601147776183644,1.3690817790530847,1.005738880918221,0.5052164533798262,32.14586871560459,83.37628865979381,50.0,83.37628865979381,87.88659793814433,94.58762886597938,89.0463917525773,67.91237113402062,94.0721649484536,16.675257731958762,6.0,15.970360824742265,10.54639175257732,9.458762886597938,11.57603092783505,10.186855670103093,80.41365979381442,268.0993724592437,Madiwala,BTP137 - Madiwala Traffic PS Junction,0.24390243902439024,62.75773195876289,77.70618556701031,68.73711340206185,75.74304123711339,P0,0.47919655667144906,0.41750358680057387,0.0975609756097561,0.005738880918220947,36.295804552648306,31.622991391678614,7.38956499874277,0.43468029404369235,-0.10872398046490656,False,False
8861892ed3fffff,1600,964.5,49,47,26,137,507,275,12.972932700216496,77.61921240162609,1.3,1.036375,1.05225,854,488,19.683673469387756,0.01625,0.085625,0.171875,0.53375,0.305,19.683673469387756,5.17275597654488,1.0120787973043026,0.01625,0.316875,1.3,1.036375,0.5616384374999999,16.831639745942702,90.97938144329896,59.5360824742268,63.01546391752577,83.8917525773196,92.39690721649485,85.69587628865979,75.51546391752578,56.829896907216494,18.195876288659793,7.144329896907216,10.786082474226804,10.06701030927835,9.239690721649486,11.140463917525773,11.327319587628866,77.9007731958763,220.33515672583934,Halasur,No Junction,0.185,73.4536082474227,67.0103092783505,70.87628865979381,75.0909793814433,P0,0.533125,0.376875,0.089375,0.000625,40.03287838273196,28.299912854381446,6.711256282216495,0.04693186211340206,-0.04278752041870948,False,False
8860145b59fffff,9906,5704.0,127,110,9906,895,2606,1343,12.964477782294486,77.57608609730953,1.304497274379164,1.16188168786594,1.0615132243085,5898,2872,44.91338582677165,1.0,0.09034928326266908,0.1355743993539269,0.595396729254997,0.28992529779931353,44.91338582677165,5.184949486914326,0.8567671809256662,1.0,0.2630728851201292,1.304497274379164,1.16188168786594,0.6320215018142068,32.48952055258033,97.80927835051546,60.69587628865979,33.76288659793815,97.6159793814433,88.4020618556701,99.22680412371135,80.15463917525774,94.45876288659794,19.561855670103093,7.283505154639174,11.539948453608249,11.713917525773194,8.84020618556701,12.899484536082475,12.02319587628866,83.86211340206185,987.0612499577575,City Market,BTP082 - KR Market Junction,0.15384615384615385,66.3659793814433,54.1881443298969,61.49484536082474,74.915206185567,P0,0.47274379164142943,0.37593377750858065,0.02866949323642237,0.12265293761356753,35.41569862376441,28.16315645417439,2.1477809970423003,9.188570110585898,0.20332857327132048,True,False
8861892e55fffff,469,314.5,15,9,0,234,94,101,12.979245315133973,77.695008981747,1.3681236673773987,1.0028784648187634,1.0625799573560766,269,93,20.966666666666665,0.0,0.4989339019189765,0.21535181236673773,0.5735607675906184,0.19829424307036247,20.966666666666665,6.467218771566598,1.1682034976152622,0.0,0.20042643923240938,1.3681236673773987,1.0028784648187634,0.6094541759675578,24.79538351247095,91.49484536082474,94.84536082474226,79.25257731958763,41.68814432989691,81.5721649484536,88.27319587628865,78.99484536082474,85.18041237113401,18.298969072164947,11.38144329896907,14.798969072164946,5.002577319587629,8.157216494845361,11.475515463917525,11.849226804123711,80.9639175257732,349.79832288472943,Mahadevapura,No Junction,0.12366737739872068,79.89690721649485,44.45876288659794,65.72164948453609,74.86701030927836,P0,0.5735607675906184,0.3837953091684435,0.042643923240938165,0.0,42.94077990020443,28.733607368166535,3.1926230409073924,0.0,-0.10329877667118703,False,False
8861892589fffff,807,538.5,17,17,442,180,315,177,12.932675817100371,77.6071738432466,1.2968401486988848,1.0029739776951672,1.0564436183395292,454,258,31.676470588235293,0.5477075588599752,0.22304832713754646,0.21933085501858737,0.5625774473358116,0.31970260223048325,31.676470588235293,5.76008804108584,0.7788300835654596,0.5477075588599752,0.3903345724907063,1.2968401486988848,1.0029739776951672,0.5943313540596608,21.477006067234683,94.58762886597938,84.5360824742268,23.195876288659793,87.37113402061856,95.61855670103093,70.10309278350515,77.57731958762886,78.09278350515464,18.917525773195877,10.144329896907216,9.115979381443298,10.484536082474227,9.561855670103093,9.11340206185567,11.636597938144329,78.97422680412372,456.09176363492656,Mico Layout,No Junction,0.13878562577447337,80.41237113402062,49.48453608247423,68.04123711340206,74.60103092783505,P0,0.5625774473358116,0.3159851301115242,0.12143742255266418,0.0,41.96885754800138,23.5728164641858,9.059356915647875,0.0,-0.08814291449875322,False,False
886014598dfffff,206,97.0,18,16,0,99,29,49,13.049308422475727,77.49644200346278,1.4339805825242717,1.0,1.0223300970873785,79,55,5.388888888888889,0.0,0.48058252427184467,0.23786407766990292,0.38349514563106796,0.2669902912621359,5.388888888888889,5.382978723404255,1.170618556701031,0.0,0.1407766990291262,1.4339805825242717,1.0,0.3920586294655481,19.81365502673972,60.69587628865979,72.55154639175258,79.5103092783505,41.68814432989691,71.90721649484536,94.71649484536083,55.02577319587629,70.61855670103093,12.139175257731958,8.706185567010309,13.511597938144329,5.002577319587629,7.190721649484536,12.313144329896907,8.253865979381443,67.11726804123711,67.78570139830059,Chikkabanavara,No Junction,0.33980582524271846,82.4742268041237,89.30412371134021,85.20618556701031,74.35283505154638,P0,0.38349514563106796,0.529126213592233,0.08737864077669903,0.0,28.513951306175553,39.3420340806726,6.496849664698227,0.0,-0.18132889297539823,False,False
88618925d7fffff,92,48.5,17,17,62,49,16,33,12.927589268478261,77.59540672934783,1.2771739130434783,1.132608695652174,1.0364130434782608,44,38,2.8529411764705883,0.6739130434782609,0.532608695652174,0.358695652173913,0.4782608695652174,0.41304347826086957,2.8529411764705883,6.520754716981132,1.0,0.6739130434782609,0.17391304347826086,1.2771739130434783,1.132608695652174,0.4956758034026465,36.12104415844503,44.072164948453604,95.61855670103093,57.53865979381443,88.27319587628865,77.25515463917526,95.4896907216495,67.13917525773195,95.87628865979381,8.81443298969072,11.474226804123711,13.807345360824742,10.592783505154639,7.725515463917526,12.413659793814436,10.070876288659791,74.89884020618557,67.37378923617159,Jayanagara,"BTP127 - Sagar Hospital, Jayanagar",0.11956521739130435,91.62371134020619,43.170103092783506,72.24226804123711,73.83621134020618,P0,0.4782608695652174,0.33695652173913043,0.18478260869565216,0.0,35.312970640968175,24.87959295159121,13.643647747646792,0.0,-0.15320157870451057,False,False
8860145b41fffff,917,570.5,94,91,917,95,141,270,12.978520151210967,77.59034597665374,1.3,1.054525627044711,1.0455834242093784,441,175,6.069148936170213,1.0,0.10359869138495092,0.29443838604143946,0.48091603053435117,0.19083969465648856,6.069148936170213,5.323320158102767,0.7994741454864155,1.0,0.15376226826608505,1.3,1.054525627044711,0.5028378299632889,26.770818284713883,64.43298969072166,69.71649484536083,25.257731958762886,97.6159793814433,73.71134020618557,88.14432989690721,67.65463917525774,88.78865979381443,12.886597938144332,8.3659793814433,10.264175257731958,11.713917525773194,7.371134020618557,11.458762886597938,10.14819587628866,72.20876288659792,106.42836988432352,Cubbon Park,BTP041 - Gopal Gowda Circle,0.15267175572519084,87.11340206185567,53.73711340206185,73.76288659793815,72.830412371134,P0,0.48091603053435117,0.5070883315158125,0.011995637949836423,0.0,35.02531281970567,36.93145229288693,0.8736472585414111,0.0,-0.0801761411720211,False,False
