h3_cell,dominant_police_station,dominant_junction_name,priority_score,priority_tier,estimated_capacity_loss_pct,share_18-24,shift_priority_18-24
8860145b59fffff,City Market,BTP082 - KR Market Junction,74.915206185567,P0,32.48952055258033,0.12265293761356753,9.188570110585898
8861892e2bfffff,K.R. Pura,No Junction,70.44278350515464,P0,16.615255317305863,0.12447078746824725,8.768068734341856
8861892e29fffff,K.R. Pura,No Junction,62.30979381443299,P0,17.27315638973318,0.11021505376344086,6.867477275246647
8861892ebdfffff,Pulikeshinagar(F.Town),No Junction,65.4110824742268,P0,14.457168716310921,0.10077519379844961,6.591814512906577
8860145917fffff,Jalahalli,No Junction,47.75592783505155,P2,13.844636190896114,0.06349206349206349,3.0321224022254953
8861892e45fffff,Mahadevapura,No Junction,60.79097938144331,P0,17.77602956362727,0.04395604395604396,2.672130961821684
88618924a1fffff,J.P. Nagar,"BTP117 - 9th Cross, Kanakapura Road",63.90592783505155,P0,30.628216636999817,0.03814713896457766,2.437828309783983
88618925c7fffff,Adugodi,BTP135 - UCO Bank Junction,51.28994845360825,P2,18.863523669567194,0.03438975050573163,1.7638485307714233
88601459ebfffff,Peenya,No Junction,64.06365979381442,P0,12.17885982644766,0.021406727828746176,1.3713933289195748
8860145b49fffff,Cubbon Park,BTP063 - Siddalingaiah Circle,64.95850515463918,P0,26.104378332189622,0.020456333595594022,1.328812851314413
8860145b51fffff,Chamarajpet,BTP048 - Shanthala Junction,71.0922680412371,P0,30.83482586856246,0.016216216216216217,1.1528475898578991
88618925b5fffff,Halasuru Gate,BTP180 - Swagath Poornima Theatre,65.45257731958763,P0,35.77569708763053,0.01647058823529412,1.0780424499696788
8861892191fffff,Whitefield,No Junction,38.91520618556701,P3,9.365746655541502,0.023622047244094488,0.9192568390291419
8861892523fffff,Jeevanbheemanagar,No Junction,49.42731958762886,P2,14.704355722562317,0.017964071856287425,0.8879159207358477
88618925c9fffff,Madiwala,BTP137 - Madiwala Traffic PS Junction,69.35618556701031,P0,36.90292312347463,0.012244897959183673,0.8492594151062487
8861892e93fffff,Shivajinagar,BTP211 - Central Street Junction,64.58943298969072,P0,26.635509598834947,0.012633996937212864,0.8160226985680681
8860145a3bfffff,Byatarayanapura,No Junction,66.85747422680413,P0,38.11514749737267,0.011049723756906077,0.7387566212906533
886189259dfffff,Jayanagara,BTP219 - Canara Bank Junction,48.949999999999996,P2,17.783255857169056,0.01507537688442211,0.7379396984924622
8861892535fffff,Jeevanbheemanagar,No Junction,64.21030927835052,P0,17.017229526826892,0.011461318051575931,0.7359347768292324
88618924e9fffff,Hulimavu,No Junction,51.08634020618556,P2,10.707549135599342,0.012345679012345678,0.6306955581010563
